annettevogt-20180320-rec_segment_0018;annettevogt-20180320-rec;segment_0018;In Dahlem. Wir sind in Berlin Dahlem.;in dahlem wir sind in berlin dahlem;3
annettevogt-20180320-rec_segment_1103;annettevogt-20180320-rec;segment_1103;und dabei aber trotzdem eine gewisse Vergleichbarkeit zu halten und dann auch;und dabei aber trotzdem eine gewisse vergleichbarkeit zu halten und dann auch;3
annettevogt-20180320-rec_segment_1104;annettevogt-20180320-rec;segment_1104;sich wechselseitig zu unterstützen in Zeiten der Not,;sich wechselseitig zu unterstützen in zeiten der not;3
annettevogt-20180320-rec_segment_1105;annettevogt-20180320-rec;segment_1105;*eh* das ist meiner Meinung nach etwas, was in der europäischen Union erst noch erreicht werden muss.;eh das ist meiner meinung nach etwas was in der europäischen union erst noch erreicht werden muss;3
annettevogt-20180320-rec_segment_1106;annettevogt-20180320-rec;segment_1106;Weil bisher sind ja die Diskurse dann eher so;weil bisher sind ja die diskurse dann eher so;3
annettevogt-20180320-rec_segment_1107;annettevogt-20180320-rec;segment_1107;*eh* etwas arrogant, die sollen sich mal selber kümmern und wieso wir und;eh etwas arrogant die sollen sich mal selber kümmern und wieso wir und;3
annettevogt-20180320-rec_segment_1109;annettevogt-20180320-rec;segment_1109;dass sie immer nur der Nettoeinzahler sind. Wobei wenn sie es auf Dauer wären, hätten sie recht, dass sie sich beklagen,;dass sie immer nur der nettoeinzahler sind wobei wenn sie es auf dauer wären hätten sie recht dass sie sich beklagen;3
annettevogt-20180320-rec_segment_1110;annettevogt-20180320-rec;segment_1110;aber man muss eben eben gucken, wie man das *eh* so versucht zu vernetzen, dass;aber man muss eben eben gucken wie man das eh so versucht zu vernetzen dass;3
annettevogt-20180320-rec_segment_1111;annettevogt-20180320-rec;segment_1111;die positiven Seiten des der föderalen Strukturen, nämlich dass ich überall kleine Zentren habe;die positiven seiten des der föderalen strukturen nämlich dass ich überall kleine zentren habe;3
annettevogt-20180320-rec_segment_1112;annettevogt-20180320-rec;segment_1112;und gleichzeitig aber die Vergleichbarkeit und den *eh* die Austauschbarkeit herstelle und mich nicht abschotte.;und gleichzeitig aber die vergleichbarkeit und den eh die austauschbarkeit herstelle und mich nicht abschotte;3
annettevogt-20180320-rec_segment_1113;annettevogt-20180320-rec;segment_1113;Denn also zum Beispiel im neunzehnten Jahrhundert bei der Lehrerbildung,;denn also zum beispiel im neunzehnten jahrhundert bei der lehrerbildung;3
annettevogt-20180320-rec_segment_1114;annettevogt-20180320-rec;segment_1114;dass Studenten die Unis wechseln ist also Gang und Gäbe gewesen im neunzehnten Jahrhundert;dass studenten die unis wechseln ist also gang und gäbe gewesen im neunzehnten jahrhundert;3
annettevogt-20180320-rec_segment_1116;annettevogt-20180320-rec;segment_1116;Abschlüsse als Lehrer musste man an seine *eh* an seine;abschlüsse als lehrer musste man an seine eh an seine;3
annettevogt-20180320-rec_segment_1117;annettevogt-20180320-rec;segment_1117;deutsche Heimatuniversität. Also die Preußen hier und die Bayern dort und;deutsche heimatuniversität also die preußen hier und die bayern dort und;3
annettevogt-20180320-rec_segment_1118;annettevogt-20180320-rec;segment_1118;also das ist dann *eh* sozusagen diese Kleinstaaterei gewesen.;also das ist dann eh sozusagen diese kleinstaaterei gewesen;3
annettevogt-20180320-rec_segment_1120;annettevogt-20180320-rec;segment_1120;diese föderalen Strukturen haben ganz wichtige positive Elemente und wenn man sie aber zu sehr fokussiert,;diese föderalen strukturen haben ganz wichtige positive elemente und wenn man sie aber zu sehr fokussiert;3
annettevogt-20180320-rec_segment_1121;annettevogt-20180320-rec;segment_1121;dann behindern sie wieder. *mhm*;dann behindern sie wieder mhm;3
annettevogt-20180320-rec_segment_1122;annettevogt-20180320-rec;segment_1122;Und wenn ich eben sage, ein Preuße darf nicht in in Bayern Lehrer werden oder umgekehrt,;und wenn ich eben sage ein preuße darf nicht in in bayern lehrer werden oder umgekehrt;3
annettevogt-20180320-rec_segment_1123;annettevogt-20180320-rec;segment_1123;dann ist es behindernd.;dann ist es behindernd;3
annettevogt-20180320-rec_segment_1127;annettevogt-20180320-rec;segment_1127;Ja und nein. Es darf nicht dazu führen, dass *eh*;ja und nein es darf nicht dazu führen dass eh;3
annettevogt-20180320-rec_segment_1128;annettevogt-20180320-rec;segment_1128;﻿unter der Vereinheitlichung dann gravierende Felder draußen bleiben. Also man muss die Balance hinkriegen.;unter der vereinheitlichung dann gravierende felder draußen bleiben also man muss die balance hinkriegen;3
annettevogt-20180320-rec_segment_1129;annettevogt-20180320-rec;segment_1129;Dass man meinetwegen *eh*  variable Angebote macht. Also es;dass man meinetwegen eh variable angebote macht also es;3
annettevogt-20180320-rec_segment_1130;annettevogt-20180320-rec;segment_1130;*eh* würde ich sagen, gibt ein eine Basis, die überall möglichst ähnlich sein sollte an Wissen;eh würde ich sagen gibt ein eine basis die überall möglichst ähnlich sein sollte an wissen;3
annettevogt-20180320-rec_segment_1131;annettevogt-20180320-rec;segment_1131;und darum herum muss es aber Module geben, die zusätzlich was anbieten;und darum herum muss es aber module geben die zusätzlich was anbieten;3
annettevogt-20180320-rec_segment_1132;annettevogt-20180320-rec;segment_1132;und die sollen ruhig unterschiedlich sein und die sollen ruhig ein Grund sein, dass eine Studentin von Göttingen nach Berlin kommt oder nach Paris oder nach Madrid.;und die sollen ruhig unterschiedlich sein und die sollen ruhig ein grund sein dass eine studentin von göttingen nach berlin kommt oder nach paris oder nach madrid;3
annettevogt-20180320-rec_segment_1133;annettevogt-20180320-rec;segment_1133;Und *eh* und die Balance dessen müssen die jeweiligen Fachwissenschaftler finden. *eh* und Und *eh*;und eh und die balance dessen müssen die jeweiligen fachwissenschaftler finden eh und und eh;3
annettevogt-20180320-rec_segment_1134;annettevogt-20180320-rec;segment_1134;*eh* die müssen sagen,;eh die müssen sagen;3
annettevogt-20180320-rec_segment_1135;annettevogt-20180320-rec;segment_1135;das und das und das ist zusätzlich das. Und da kann sich auch jede Uni profilieren, weil sie sagt,;das und das und das ist zusätzlich das und da kann sich auch jede uni profilieren weil sie sagt;3
annettevogt-20180320-rec_segment_1136;annettevogt-20180320-rec;segment_1136;wir bieten *eh* etwas an, was sonst eben erst wieder *eh* 2500 Kilometer weiter angeboten wird.;wir bieten eh etwas an was sonst eben erst wieder eh zweitausendfünfhundert kilometer weiter angeboten wird;3
annettevogt-20180320-rec_segment_1137;annettevogt-20180320-rec;segment_1137;Und *eh*  das wäre sozusagen eine Möglichkeit.;und eh das wäre sozusagen eine möglichkeit;3
annettevogt-20180320-rec_segment_1138;annettevogt-20180320-rec;segment_1138;Und das kann zum Beispiel da können Mäzene *eh* fördern,;und das kann zum beispiel da können mäzene eh fördern;3
annettevogt-20180320-rec_segment_1139;annettevogt-20180320-rec;segment_1139;indem sie die sogenannte Anschubfinanzierung übernehmen oder indem sie Stipendien übernehmen.;indem sie die sogenannte anschubfinanzierung übernehmen oder indem sie stipendien übernehmen;3
annettevogt-20180320-rec_segment_1140;annettevogt-20180320-rec;segment_1140;Weil das ist ja oft hilfreich, dass dann also die ersten fünf Jahre erst mal finanziert werden und dann wird die Bürokratie;weil das ist ja oft hilfreich dass dann also die ersten fünf jahre erst mal finanziert werden und dann wird die bürokratie;3
annettevogt-20180320-rec_segment_1141;annettevogt-20180320-rec;segment_1141;überzeugt, ja das funktioniert und ist dann bereit *eh*;überzeugt ja das funktioniert und ist dann bereit eh;3
annettevogt-20180320-rec_segment_1142;annettevogt-20180320-rec;segment_1142;es *eh*  dauerhaft zu bezahlen. Und da denke ich sind Mäzene ganz ganz wichtig, dass sie also;es eh dauerhaft zu bezahlen und da denke ich sind mäzene ganz ganz wichtig dass sie also;3
annettevogt-20180320-rec_segment_1143;annettevogt-20180320-rec;segment_1143;Möglichkeiten eröffnen, etwas auszuprobieren.;möglichkeiten eröffnen etwas auszuprobieren;3
annettevogt-20180320-rec_segment_1145;annettevogt-20180320-rec;segment_1145;*ehm* Weil *eh*;ehm weil eh;3
annettevogt-20180320-rec_segment_1146;annettevogt-20180320-rec;segment_1146;alles andere, wenn man das durch diese bürokratischen Prozedere gehen muss, dann dann;alles andere wenn man das durch diese bürokratischen prozedere gehen muss dann dann;3
annettevogt-20180320-rec_segment_1147;annettevogt-20180320-rec;segment_1147;die innovative Idee womöglich *eh* auf der Strecke, weil man nur was sicheres anbieten darf und und soll.;die innovative idee womöglich eh auf der strecke weil man nur was sicheres anbieten darf und und soll;3
annettevogt-20180320-rec_segment_1148;annettevogt-20180320-rec;segment_1148;Und da würde ich sagen, da kann man nicht genug werben um Mäzene und auch für solche Stipendienprogramme.;und da würde ich sagen da kann man nicht genug werben um mäzene und auch für solche stipendienprogramme;3
annettevogt-20180320-rec_segment_1164;annettevogt-20180320-rec;segment_1164;*ehm* längerfristig zu forschen, relativ eingeschränkt, dadurch, dass wir kaum;ehm längerfristig zu forschen relativ eingeschränkt dadurch dass wir kaum;3
annettevogt-20180320-rec_segment_1165;annettevogt-20180320-rec;segment_1165;unbefristete Stellen haben. und Also wirklich nur die Professuren;unbefristete stellen haben und also wirklich nur die professuren;3
annettevogt-20180320-rec_segment_1166;annettevogt-20180320-rec;segment_1166;und weil die Lehrverpflichtungen zum Teil sehr hoch sind. Und wo;und weil die lehrverpflichtungen zum teil sehr hoch sind und wo;3
annettevogt-20180320-rec_segment_1167;annettevogt-20180320-rec;segment_1167;zur Zeit ja viele Diskussionen im Raum sind, ob man so eine zusätzliche Professur einrichtet,;zur zeit ja viele diskussionen im raum sind ob man so eine zusätzliche professur einrichtet;3
annettevogt-20180320-rec_segment_1168;annettevogt-20180320-rec;segment_1168;die stärker mit der Lehre belastet ist und dann sagen mit Recht *eh* viele,;die stärker mit der lehre belastet ist und dann sagen mit recht eh viele;3
annettevogt-20180320-rec_segment_1169;annettevogt-20180320-rec;segment_1169;das zerstört aber eigentlich diese diese Einheit von Forschung und Lehre.;das zerstört aber eigentlich diese diese einheit von forschung und lehre;3
annettevogt-20180320-rec_segment_1170;annettevogt-20180320-rec;segment_1170;Also insofern, *eh*;also insofern eh;3
annettevogt-20180320-rec_segment_1171;annettevogt-20180320-rec;segment_1171;die Universitäten sind eher dazu da, dass man das Handwerkszeug lernt als Wissenschaftlerin, als Wissenschaftler im im wahrsten Sinne des Wortes. Wenn es *eh*;die universitäten sind eher dazu da dass man das handwerkszeug lernt als wissenschaftlerin als wissenschaftler im im wahrsten sinne des wortes wenn es eh;3
annettevogt-20180320-rec_segment_1172;annettevogt-20180320-rec;segment_1172;um Experimentalwissenschaften geht oder eben das;um experimentalwissenschaften geht oder eben das;3
annettevogt-20180320-rec_segment_1173;annettevogt-20180320-rec;segment_1173;theoretische Rüstzeug.;theoretische rüstzeug;3
annettevogt-20180320-rec_segment_1174;annettevogt-20180320-rec;segment_1174;Deutschland ist eigentlich ganz gut aufgestellt. Die Bundesrepublik Deutschland;deutschland ist eigentlich ganz gut aufgestellt die bundesrepublik deutschland;3
annettevogt-20180320-rec_segment_1175;annettevogt-20180320-rec;segment_1175;nämlich mehrere Forschungsorganisationen. Also die Max-Planck-Gesellschaft ist ja nicht die einzige. Wir haben dann noch die Helmholtz-Gemeinschaft;nämlich mehrere forschungsorganisationen also die max planck gesellschaft ist ja nicht die einzige wir haben dann noch die helmholtz gemeinschaft;3
annettevogt-20180320-rec_segment_1176;annettevogt-20180320-rec;segment_1176;wir haben die Fraunhofer-Gesellschaft;wir haben die fraunhofer gesellschaft;3
annettevogt-20180320-rec_segment_1178;annettevogt-20180320-rec;segment_1178;die ja so ein Mix ist, also *eh* Bürger der alten Bundesrepublik kennen vielleicht noch den Begriff *eh* "Blaue Liste",;die ja so ein mix ist also eh bürger der alten bundesrepublik kennen vielleicht noch den begriff eh blaue liste;3
annettevogt-20180320-rec_segment_1179;annettevogt-20180320-rec;segment_1179;Blaue-Liste-Institute. Was ist das?;blaue liste institute was ist das;3
annettevogt-20180320-rec_segment_1181;annettevogt-20180320-rec;segment_1181;waren an Universitäten, aber *eh* aber aus dem staatlichen Haushalt finanziert wurden, warum die Blaue Liste nun hießen weiß ich nicht.;waren an universitäten aber eh aber aus dem staatlichen haushalt finanziert wurden warum die blaue liste nun hießen weiß ich nicht;3
annettevogt-20180320-rec_segment_1182;annettevogt-20180320-rec;segment_1182;Und dann gab es ja nach dem;und dann gab es ja nach dem;3
annettevogt-20180320-rec_segment_1183;annettevogt-20180320-rec;segment_1183;der Vereinigung und nach der abwicklung von DDR-Wissenschaftsinstituten, die;der vereinigung und nach der abwicklung von ddr wissenschaftsinstituten die;3
annettevogt-20180320-rec_segment_1184;annettevogt-20180320-rec;segment_1184;die die positiv evaluiert wurden und da *eh* rum;die die positiv evaluiert wurden und da eh rum;3
annettevogt-20180320-rec_segment_1185;annettevogt-20180320-rec;segment_1185;hingen sozusagen, wenn man sich das *eh* als Moleküle vorstellt, freischwebend.;hingen sozusagen wenn man sich das eh als moleküle vorstellt freischwebend;3
annettevogt-20180320-rec_segment_1186;annettevogt-20180320-rec;segment_1186;Und die wurden alle dann in diese Leibniz-Gemeinschaft aufgenommen. Und das ist ein;und die wurden alle dann in diese leibniz gemeinschaft aufgenommen und das ist ein;3
annettevogt-20180320-rec_segment_1187;annettevogt-20180320-rec;segment_1187;breites Spektrum, wo wissenschaftliche Forschung gemacht werden kann;breites spektrum wo wissenschaftliche forschung gemacht werden kann;3
annettevogt-20180320-rec_segment_1188;annettevogt-20180320-rec;segment_1188;und wo die Bedingungen aber natürlich ganz unterschiedlich sind. Und da;und wo die bedingungen aber natürlich ganz unterschiedlich sind und da;3
annettevogt-20180320-rec_segment_1189;annettevogt-20180320-rec;segment_1189;also wer wer sich interessiert, die haben ja alle in alle inzwischen eine Homepage und Selbstdarstellungen und da kann man das alles nachgucken und verfolgen. Diese;also wer wer sich interessiert die haben ja alle in alle inzwischen eine homepage und selbstdarstellungen und da kann man das alles nachgucken und verfolgen diese;3
annettevogt-20180320-rec_segment_1190;annettevogt-20180320-rec;segment_1190;diese *eh* wissenschaftlichen *eh* Einrichtungen, Forschungseinrichtungen sind schon was sehr positives. Weil sie die Möglichkeit eröffnen,;diese eh wissenschaftlichen eh einrichtungen forschungseinrichtungen sind schon was sehr positives weil sie die möglichkeit eröffnen;3
annettevogt-20180320-rec_segment_1191;annettevogt-20180320-rec;segment_1191;Forschung;forschung;3
annettevogt-20180320-rec_segment_1192;annettevogt-20180320-rec;segment_1192;für einen längeren Zeitraum zu machen unter relativ guten Bedingungen,;für einen längeren zeitraum zu machen unter relativ guten bedingungen;3
annettevogt-20180320-rec_segment_1193;annettevogt-20180320-rec;segment_1193;*ehm* mit internationaler Vernetzung, mit Kooperation;ehm mit internationaler vernetzung mit kooperation;3
annettevogt-20180320-rec_segment_1194;annettevogt-20180320-rec;segment_1194;und das sind schon sehr sehr gute Möglichkeiten für für Wissenschaftler. Und;und das sind schon sehr sehr gute möglichkeiten für für wissenschaftler und;3
annettevogt-20180320-rec_segment_1195;annettevogt-20180320-rec;segment_1195;der Prozess der Internationalisierung ist ziemlich groß inzwischen bei unserer Max-Planck-Gesellschaft,;der prozess der internationalisierung ist ziemlich groß inzwischen bei unserer max planck gesellschaft;3
annettevogt-20180320-rec_segment_1196;annettevogt-20180320-rec;segment_1196;der ist glaube ich weniger *eh* bei den anderen,;der ist glaube ich weniger eh bei den anderen;3
annettevogt-20180320-rec_segment_1197;annettevogt-20180320-rec;segment_1197;aber das *eh* wird sich zwangsläufig entwickeln;aber das eh wird sich zwangsläufig entwickeln;3
annettevogt-20180320-rec_segment_1200;annettevogt-20180320-rec;segment_1200;*ehm* die;ehm die;3
annettevogt-20180320-rec_segment_1201;annettevogt-20180320-rec;segment_1201;das *eh* ist eine Stärke gewesen seit dem neunzehnten Jahrhundert, dass die Industrie;das eh ist eine stärke gewesen seit dem neunzehnten jahrhundert dass die industrie;3
annettevogt-20180320-rec_segment_1202;annettevogt-20180320-rec;segment_1202;*ehm* festgestellt hat, sie braucht ihre eigenen Laboratorien und sie braucht ihre eigenen;ehm festgestellt hat sie braucht ihre eigenen laboratorien und sie braucht ihre eigenen;3
annettevogt-20180320-rec_segment_1203;annettevogt-20180320-rec;segment_1203;Wissenschaftler, die bei ihnen an innovativen Produkten sitzen;wissenschaftler die bei ihnen an innovativen produkten sitzen;3
annettevogt-20180320-rec_segment_1204;annettevogt-20180320-rec;segment_1204;und auch das lehrt die Geschichte wieder,;und auch das lehrt die geschichte wieder;3
annettevogt-20180320-rec_segment_1205;annettevogt-20180320-rec;segment_1205;solche *eh* Konzerne wie Telefunken oder AEG oder auch Siemens waren international;solche eh konzerne wie telefunken oder aeg oder auch siemens waren international;3
annettevogt-20180320-rec_segment_1206;annettevogt-20180320-rec;segment_1206;dann sehr erfolgreich,;dann sehr erfolgreich;3
annettevogt-20180320-rec_segment_1207;annettevogt-20180320-rec;segment_1207;wenn sie ihre Industrieforschung nicht zu klein gehalten haben und nicht zu anwendungsorientiert.;wenn sie ihre industrieforschung nicht zu klein gehalten haben und nicht zu anwendungsorientiert;3
annettevogt-20180320-rec_segment_1208;annettevogt-20180320-rec;segment_1208;Sondern wenn sie denen auch Freiräume gelassen haben.;sondern wenn sie denen auch freiräume gelassen haben;3
annettevogt-20180320-rec_segment_1209;annettevogt-20180320-rec;segment_1209;*mhm* Und damals haben die aber, ich meine, *eh* die die waren selber zum Teil studierte *eh* Naturwissenschaftler und dann hatten die die Ahnung,;mhm und damals haben die aber ich meine eh die die waren selber zum teil studierte eh naturwissenschaftler und dann hatten die die ahnung;3
annettevogt-20180320-rec_segment_1210;annettevogt-20180320-rec;segment_1210;ich lass die machen, da kommt was raus.;ich lass die machen da kommt was raus;3
annettevogt-20180320-rec_segment_1212;annettevogt-20180320-rec;segment_1212;Und ich muss *eh* die die Freiräume lassen und das haben die damals sehr sehr gut verstanden bei bei Krupp und Co. funktioniert das;und ich muss eh die die freiräume lassen und das haben die damals sehr sehr gut verstanden bei bei krupp und co funktioniert das;3
annettevogt-20180320-rec_segment_1215;annettevogt-20180320-rec;segment_1215;zu kommen. Nein, das das das ist diese Mischung. Ich muss sozusagen, *eh* Kreativität passiert nicht mit;zu kommen nein das das das ist diese mischung ich muss sozusagen eh kreativität passiert nicht mit;3
annettevogt-20180320-rec_segment_1216;annettevogt-20180320-rec;segment_1216;*eh* von acht bis siebzehn Uhr und mit einem Knüppel daneben und;eh von acht bis siebzehn uhr und mit einem knüppel daneben und;3
annettevogt-20180320-rec_segment_1217;annettevogt-20180320-rec;segment_1217;*eh* ﻿es braucht Freiräume und auch Wissenschaftler brauchen diese Freiräume;eh es braucht freiräume und auch wissenschaftler brauchen diese freiräume;3
annettevogt-20180320-rec_segment_1218;annettevogt-20180320-rec;segment_1218;und und wie gesagt, wenn wenn man mal zurückguckt, *eh* bei AEG und Telefunken, *eh* die hatten;und und wie gesagt wenn wenn man mal zurückguckt eh bei aeg und telefunken eh die hatten;3
annettevogt-20180320-rec_segment_1219;annettevogt-20180320-rec;segment_1219;die waren nicht nur fixiert, dass sie die nächste Glühbirne besser *eh* herstellen oder oder entwickeln, sondern die konnten auch *eh*;die waren nicht nur fixiert dass sie die nächste glühbirne besser eh herstellen oder oder entwickeln sondern die konnten auch eh;3
annettevogt-20180320-rec_segment_1220;annettevogt-20180320-rec;segment_1220;spinnen in dem Sinne, also spinnen in Anführungsstrichen *ehm*;spinnen in dem sinne also spinnen in anführungsstrichen ehm;3
annettevogt-20180320-rec_segment_1221;annettevogt-20180320-rec;segment_1221;und das ist auch etwas, was *eh* was schwer zu vermitteln ist, aber was wichtig ist.;und das ist auch etwas was eh was schwer zu vermitteln ist aber was wichtig ist;3
annettevogt-20180320-rec_segment_1222;annettevogt-20180320-rec;segment_1222;Weil es manchmal einfach auch nur der glückliche Zufall ist, der einen wirklich auf die... Ja und dafür, um den Zufall dann auszunutzen muss man *eh* diese Möglichkeit haben;weil es manchmal einfach auch nur der glückliche zufall ist der einen wirklich auf die ja und dafür um den zufall dann auszunutzen muss man eh diese möglichkeit haben;3
annettevogt-20180320-rec_segment_1223;annettevogt-20180320-rec;segment_1223;*eh* und muss das sehen und;eh und muss das sehen und;3
annettevogt-20180320-rec_segment_1224;annettevogt-20180320-rec;segment_1224;und weil weil so was ist ja auch was spielerisches. Und und wenn man guckt,;und weil weil so was ist ja auch was spielerisches und und wenn man guckt;3
annettevogt-20180320-rec_segment_1225;annettevogt-20180320-rec;segment_1225;*eh* man muss also auch die Zeit lassen zum zum Spielen, zum Ausprobieren.;eh man muss also auch die zeit lassen zum zum spielen zum ausprobieren;3
annettevogt-20180320-rec_segment_1226;annettevogt-20180320-rec;segment_1226;*mhm* *hehe*;mhm hehe;3
annettevogt-20180320-rec_segment_1228;annettevogt-20180320-rec;segment_1228;aber nein man muss wirklich diese diese diese Möglichkeiten schaffen, dass da *eh* Gedankenexperimente gemacht;aber nein man muss wirklich diese diese diese möglichkeiten schaffen dass da eh gedankenexperimente gemacht;3
annettevogt-20180320-rec_segment_1229;annettevogt-20180320-rec;segment_1229;werden und und neun von zehn erweisen sich als nicht;werden und und neun von zehn erweisen sich als nicht;3
annettevogt-20180320-rec_segment_1230;annettevogt-20180320-rec;segment_1230;tragfähig, aber der zehnte ist es und dann muss man halt auch die Zeit und die Möglichkeiten lassen,;tragfähig aber der zehnte ist es und dann muss man halt auch die zeit und die möglichkeiten lassen;3
annettevogt-20180320-rec_segment_1232;annettevogt-20180320-rec;segment_1232;Na *eh* die Stiftungen spielen natürlich eine immer wichtigere Rolle, weil;na eh die stiftungen spielen natürlich eine immer wichtigere rolle weil;3
annettevogt-20180320-rec_segment_1233;annettevogt-20180320-rec;segment_1233;das Geld *eh* immer fehlt. Aber ich würde es positiver formulieren wollen, Stiftungen können sehr schön;das geld eh immer fehlt aber ich würde es positiver formulieren wollen stiftungen können sehr schön;3
annettevogt-20180320-rec_segment_1234;annettevogt-20180320-rec;segment_1234;eine ergänzende und korrigierende Funktion haben, weil alles was ich staatlicherseits einrichte ist ja, wenn ich es überhaupt einrichte,;eine ergänzende und korrigierende funktion haben weil alles was ich staatlicherseits einrichte ist ja wenn ich es überhaupt einrichte;3
annettevogt-20180320-rec_segment_1235;annettevogt-20180320-rec;segment_1235;ist ja dann nach einer;ist ja dann nach einer;3
annettevogt-20180320-rec_segment_1236;annettevogt-20180320-rec;segment_1236;erst nach einer sehr längeren Zeit, wo es scheinbar sicher ist, dass das jetzt wirklich so gemacht werden kann;erst nach einer sehr längeren zeit wo es scheinbar sicher ist dass das jetzt wirklich so gemacht werden kann;3
annettevogt-20180320-rec_segment_1237;annettevogt-20180320-rec;segment_1237;und dann für eine längerfristige. Und Stiftungen bieten den Freiraum etwas auszuprobieren.;und dann für eine längerfristige und stiftungen bieten den freiraum etwas auszuprobieren;3
annettevogt-20180320-rec_segment_1238;annettevogt-20180320-rec;segment_1238;Weil sie eben wirklich Geld;weil sie eben wirklich geld;3
annettevogt-20180320-rec_segment_1239;annettevogt-20180320-rec;segment_1239;geben können und sagen, in diesen fünf Jahren;geben können und sagen in diesen fünf jahren;3
annettevogt-20180320-rec_segment_1241;annettevogt-20180320-rec;segment_1241;oder in diesen fünf Jahren probiert ihr eine neue *eh* Entwicklung in irgendwelchen;oder in diesen fünf jahren probiert ihr eine neue eh entwicklung in irgendwelchen;3
annettevogt-20180320-rec_segment_1242;annettevogt-20180320-rec;segment_1242;Bereichen. *ehm*;bereichen ehm;3
annettevogt-20180320-rec_segment_1243;annettevogt-20180320-rec;segment_1243;Also ich denke Stiftungen sind *eh*  ganz wichtig, um als Korrektiv und;also ich denke stiftungen sind eh ganz wichtig um als korrektiv und;3
annettevogt-20180320-rec_segment_1244;annettevogt-20180320-rec;segment_1244;Ergänzung zu wirken.;ergänzung zu wirken;3
annettevogt-20180320-rec_segment_1245;annettevogt-20180320-rec;segment_1245;man sollte *eh* Ich meine bisher zumindest ist es Konsens in der Bundesrepublik, dass die *eh* Universitäten staatlich getragen werden,;man sollte eh ich meine bisher zumindest ist es konsens in der bundesrepublik dass die eh universitäten staatlich getragen werden;3
annettevogt-20180320-rec_segment_1246;annettevogt-20180320-rec;segment_1246;es gibt inzwischen die Versuche mit den privaten *eh* Universitäten wo der also ich;es gibt inzwischen die versuche mit den privaten eh universitäten wo der also ich;3
annettevogt-20180320-rec_segment_1247;annettevogt-20180320-rec;segment_1247;*eh* im Rundfunk vor ein paar Wochen so ein;eh im rundfunk vor ein paar wochen so ein;3
annettevogt-20180320-rec_segment_1248;annettevogt-20180320-rec;segment_1248;Art zusammenfassenden Bericht gehört, da waren die alle der Meinung, es ist noch zu früh, um zu entscheiden, ist das nun eine Alternative oder nicht,;art zusammenfassenden bericht gehört da waren die alle der meinung es ist noch zu früh um zu entscheiden ist das nun eine alternative oder nicht;3
annettevogt-20180320-rec_segment_1249;annettevogt-20180320-rec;segment_1249;deshalb will ich mich dazu auch nicht äußern, wenn die das schon selber als;deshalb will ich mich dazu auch nicht äußern wenn die das schon selber als;3
annettevogt-20180320-rec_segment_1250;annettevogt-20180320-rec;segment_1250;Betreiber nicht *eh* einschätzen können. *hehe* und *eh*;betreiber nicht eh einschätzen können hehe und eh;3
annettevogt-20180320-rec_segment_1251;annettevogt-20180320-rec;segment_1251;*eh* Also solange der Konsens ist, Universitäten werden staatlich finanziert, ist der Raum für Stiftungen, da;eh also solange der konsens ist universitäten werden staatlich finanziert ist der raum für stiftungen da;3
annettevogt-20180320-rec_segment_1255;annettevogt-20180320-rec;segment_1255;und *eh* und sie können auch wirklich Neues ausprobieren.;und eh und sie können auch wirklich neues ausprobieren;3
annettevogt-20180320-rec_segment_1256;annettevogt-20180320-rec;segment_1256;Also etwas *eh* interdisziplinäres, was;also etwas eh interdisziplinäres was;3
annettevogt-20180320-rec_segment_1257;annettevogt-20180320-rec;segment_1257;*eh* wegen der Bürokratie dann schon schwerer an den staatlichen gemacht werden kann.;eh wegen der bürokratie dann schon schwerer an den staatlichen gemacht werden kann;3
annettevogt-20180320-rec_segment_1258;annettevogt-20180320-rec;segment_1258;Da denke ich da gibt es ganz ganz viele Möglichkeiten. Also;da denke ich da gibt es ganz ganz viele möglichkeiten also;3
annettevogt-20180320-rec_segment_1259;annettevogt-20180320-rec;segment_1259;*eh* gerade jetzt diese diese die Neuroforschung kriegt ja nun viel Geld, die brauchen eigentlich nichts zusätzlich, aber das ist so ein Gebiet, da;eh gerade jetzt diese diese die neuroforschung kriegt ja nun viel geld die brauchen eigentlich nichts zusätzlich aber das ist so ein gebiet da;3
annettevogt-20180320-rec_segment_1260;annettevogt-20180320-rec;segment_1260;müssen ja Philosophen, Mediziner, *eh* Genetiker zusammenarbeiten.;müssen ja philosophen mediziner eh genetiker zusammenarbeiten;3
annettevogt-20180320-rec_segment_1264;annettevogt-20180320-rec;segment_1264;*eh* neuen Sachen, *eh* wo *eh* also sicher wollen Stifter und Stiftungsgeber;eh neuen sachen eh wo eh also sicher wollen stifter und stiftungsgeber;3
annettevogt-20180320-rec_segment_1265;annettevogt-20180320-rec;segment_1265;natürlich auch etwas längerfristiges machen, also die wollen nicht nur sagen, hier mal fünf Jahre und dort mal fünf Jahre;natürlich auch etwas längerfristiges machen also die wollen nicht nur sagen hier mal fünf jahre und dort mal fünf jahre;3
annettevogt-20180320-rec_segment_1266;annettevogt-20180320-rec;segment_1266;und da bietet sich aber an, dass *eh* dass Stipendienprogramme finanziert werden und zwar wirklich langfristig,;und da bietet sich aber an dass eh dass stipendienprogramme finanziert werden und zwar wirklich langfristig;3
annettevogt-20180320-rec_segment_1267;annettevogt-20180320-rec;segment_1267;so dass noch stärker in Europa gewandert werden kann.;so dass noch stärker in europa gewandert werden kann;3
